NmeComp,Timestamp,Value,Hour,Day
BoomCylinder_LD,2022-04-17 04:00:00,55.855,4,2022-04-17
BoomCylinder_LD,2022-04-17 05:00:00,61.0,5,2022-04-17
BoomCylinder_LD,2022-04-17 06:00:00,62.279999999999994,6,2022-04-17
BoomCylinder_LD,2022-04-17 07:00:00,59.620000000000005,7,2022-04-17
BoomCylinder_LD,2022-04-17 08:00:00,58.904999999999994,8,2022-04-17
BoomCylinder_LD,2022-04-17 09:00:00,53.605,9,2022-04-17
BoomCylinder_LD,2022-04-17 10:00:00,60.23,10,2022-04-17
BoomCylinder_LD,2022-04-17 11:00:00,57.004999999999995,11,2022-04-17
BoomCylinder_LD,2022-04-17 12:00:00,53.69,12,2022-04-17
BoomCylinder_LD,2022-04-17 13:00:00,58.205,13,2022-04-17
BoomCylinder_LD,2022-04-17 14:00:00,60.575,14,2022-04-17
BoomCylinder_LD,2022-04-17 15:00:00,61.05,15,2022-04-17
BoomCylinder_LD,2022-04-17 16:00:00,55.55,16,2022-04-17
BoomCylinder_LD,2022-04-17 17:00:00,57.79,17,2022-04-17
BoomCylinder_LD,2022-04-17 18:00:00,62.82000000000001,18,2022-04-17
BoomCylinder_LD,2022-04-17 19:00:00,49.86,19,2022-04-17
BoomCylinder_LD,2022-04-17 20:00:00,36.32,20,2022-04-17
BoomCylinder_LD,2022-04-17 21:00:00,61.285000000000004,21,2022-04-17
BoomCylinder_LD,2022-04-17 22:00:00,62.545,22,2022-04-17
BoomCylinder_LD,2022-04-17 23:00:00,62.260000000000005,23,2022-04-17
BoomCylinder_LD,2022-04-18 00:00:00,58.80499999999999,0,2022-04-18
BoomCylinder_LD,2022-04-18 01:00:00,60.39,1,2022-04-18
BoomCylinder_LD,2022-04-18 02:00:00,59.75,2,2022-04-18
BoomCylinder_LD,2022-04-18 03:00:00,61.165,3,2022-04-18
BoomCylinder_LD,2022-04-18 04:00:00,47.565000000000005,4,2022-04-18
BoomCylinder_LD,2022-04-18 05:00:00,59.21,5,2022-04-18
BoomCylinder_LD,2022-04-18 06:00:00,51.989999999999995,6,2022-04-18
BoomCylinder_LD,2022-04-18 07:00:00,36.72,7,2022-04-18
BoomCylinder_LD,2022-04-18 08:00:00,31.385,8,2022-04-18
BoomCylinder_LD,2022-04-18 09:00:00,29.655,9,2022-04-18
BoomCylinder_LD,2022-04-18 10:00:00,46.025,10,2022-04-18
BoomCylinder_LD,2022-04-18 11:00:00,51.45,11,2022-04-18
BoomCylinder_LD,2022-04-18 12:00:00,50.985,12,2022-04-18
BoomCylinder_LD,2022-04-18 13:00:00,38.57368421052632,13,2022-04-18
BoomCylinder_LD,2022-04-18 14:00:00,46.14,14,2022-04-18
BoomCylinder_LD,2022-04-18 15:00:00,47.745,15,2022-04-18
BoomCylinder_LD,2022-04-18 16:00:00,47.519999999999996,16,2022-04-18
BoomCylinder_LD,2022-04-18 17:00:00,57.5,17,2022-04-18
BoomCylinder_LD,2022-04-18 18:00:00,63.705,18,2022-04-18
BoomCylinder_LD,2022-04-18 19:00:00,48.47,19,2022-04-18
BoomCylinder_LD,2022-04-18 20:00:00,34.045,20,2022-04-18
BoomCylinder_LD,2022-04-18 21:00:00,53.19500000000001,21,2022-04-18
