Parametro,Timestamp,Value,NmeComp
Temperature,11-Apr-2022 20:29:52,25.7,MainPumpP1
Temperature,11-Apr-2022 20:32:52,25.7,MainPumpP1
Temperature,11-Apr-2022 20:35:52,25.7,MainPumpP1
Temperature,11-Apr-2022 20:38:52,25.6,MainPumpP1
Temperature,11-Apr-2022 20:41:52,25.6,MainPumpP1
Temperature,11-Apr-2022 20:44:52,25.6,MainPumpP1
Temperature,11-Apr-2022 20:47:52,25.6,MainPumpP1
Temperature,11-Apr-2022 20:50:52,25.5,MainPumpP1
Temperature,11-Apr-2022 20:53:52,25.5,MainPumpP1
Temperature,11-Apr-2022 20:56:52,25.4,MainPumpP1
Temperature,11-Apr-2022 20:59:52,25.5,MainPumpP1
Temperature,11-Apr-2022 21:02:52,25.4,MainPumpP1
Temperature,11-Apr-2022 21:05:52,25.4,MainPumpP1
Temperature,11-Apr-2022 21:08:52,25.4,MainPumpP1
Temperature,11-Apr-2022 21:11:52,25.4,MainPumpP1
Temperature,11-Apr-2022 21:14:52,25.3,MainPumpP1
Temperature,11-Apr-2022 21:17:52,25.3,MainPumpP1
Temperature,11-Apr-2022 21:20:52,25.3,MainPumpP1
Temperature,11-Apr-2022 21:23:52,25.3,MainPumpP1
Temperature,11-Apr-2022 21:26:52,25.3,MainPumpP1
Temperature,11-Apr-2022 21:29:52,25.3,MainPumpP1
Temperature,11-Apr-2022 21:32:52,25.3,MainPumpP1
Temperature,11-Apr-2022 21:35:52,25.2,MainPumpP1
Temperature,11-Apr-2022 21:38:52,25.2,MainPumpP1
Temperature,11-Apr-2022 21:41:52,25.2,MainPumpP1
Temperature,11-Apr-2022 21:44:52,25.2,MainPumpP1
Temperature,11-Apr-2022 21:47:52,25.2,MainPumpP1
Temperature,11-Apr-2022 21:50:52,25.1,MainPumpP1
Temperature,11-Apr-2022 21:53:52,25.1,MainPumpP1
Temperature,11-Apr-2022 21:56:52,25.1,MainPumpP1
Temperature,11-Apr-2022 21:59:52,25.1,MainPumpP1
Temperature,11-Apr-2022 22:02:52,25.1,MainPumpP1
Temperature,11-Apr-2022 22:05:52,25.1,MainPumpP1
Temperature,11-Apr-2022 22:08:52,25.1,MainPumpP1
Temperature,11-Apr-2022 22:11:52,25.0,MainPumpP1
Temperature,11-Apr-2022 22:14:52,25.0,MainPumpP1
Temperature,11-Apr-2022 22:17:52,25.0,MainPumpP1
Temperature,11-Apr-2022 22:20:52,25.0,MainPumpP1
Temperature,11-Apr-2022 22:23:52,25.0,MainPumpP1
Temperature,11-Apr-2022 22:26:52,25.0,MainPumpP1
Temperature,11-Apr-2022 22:29:52,25.0,MainPumpP1
Temperature,11-Apr-2022 22:32:52,25.0,MainPumpP1
Temperature,11-Apr-2022 22:35:52,24.9,MainPumpP1
Temperature,11-Apr-2022 22:38:52,24.9,MainPumpP1
Temperature,11-Apr-2022 22:41:52,24.9,MainPumpP1
Temperature,11-Apr-2022 22:44:52,24.9,MainPumpP1
Temperature,11-Apr-2022 22:47:52,24.9,MainPumpP1
Temperature,11-Apr-2022 22:50:52,24.9,MainPumpP1
Temperature,11-Apr-2022 22:53:52,24.9,MainPumpP1
Temperature,11-Apr-2022 22:56:52,24.9,MainPumpP1
Temperature,11-Apr-2022 22:59:52,24.8,MainPumpP1
Temperature,11-Apr-2022 23:02:52,24.8,MainPumpP1
Temperature,11-Apr-2022 23:05:52,24.8,MainPumpP1
Temperature,11-Apr-2022 23:08:52,24.8,MainPumpP1
Temperature,11-Apr-2022 23:11:52,24.8,MainPumpP1
Temperature,11-Apr-2022 23:14:52,24.8,MainPumpP1
Temperature,11-Apr-2022 23:17:52,24.8,MainPumpP1
Temperature,11-Apr-2022 23:20:52,24.7,MainPumpP1
Temperature,11-Apr-2022 23:23:52,24.8,MainPumpP1
Temperature,11-Apr-2022 23:26:52,24.7,MainPumpP1
Temperature,11-Apr-2022 23:29:52,24.7,MainPumpP1
Temperature,11-Apr-2022 23:32:52,24.7,MainPumpP1
Temperature,11-Apr-2022 23:35:52,24.7,MainPumpP1
Temperature,11-Apr-2022 23:38:52,24.7,MainPumpP1
Temperature,11-Apr-2022 23:41:52,24.7,MainPumpP1
Temperature,11-Apr-2022 23:44:52,24.7,MainPumpP1
Temperature,11-Apr-2022 23:47:52,24.7,MainPumpP1
Temperature,11-Apr-2022 23:50:52,24.7,MainPumpP1
Temperature,11-Apr-2022 23:53:52,24.7,MainPumpP1
Temperature,11-Apr-2022 23:56:52,24.8,MainPumpP1
Temperature,11-Apr-2022 23:59:52,24.9,MainPumpP1
Temperature,12-Apr-2022 00:02:52,25.0,MainPumpP1
