Parametro,Timestamp,Value,NmeComp
Temperature,2024-04-11 21:47:16,24.9,MainPumpP1
Temperature,2024-04-11 21:50:16,24.9,MainPumpP1
Temperature,2024-04-11 21:53:16,24.9,MainPumpP1
Temperature,2024-04-11 21:56:16,24.8,MainPumpP1
Temperature,2024-04-11 21:59:16,24.9,MainPumpP1
Temperature,2024-04-11 22:02:16,24.8,MainPumpP1
Temperature,2024-04-11 22:05:16,24.8,MainPumpP1
Temperature,2024-04-11 22:08:16,24.8,MainPumpP1
Temperature,2024-04-11 22:11:16,24.8,MainPumpP1
Temperature,2024-04-11 22:14:16,24.8,MainPumpP1
Temperature,2024-04-11 22:17:16,24.8,MainPumpP1
Temperature,2024-04-11 22:20:16,24.8,MainPumpP1
Temperature,2024-04-11 22:23:16,24.8,MainPumpP1
Temperature,2024-04-11 22:26:16,24.8,MainPumpP1
Temperature,2024-04-11 22:29:16,24.7,MainPumpP1
Temperature,2024-04-11 22:32:16,24.7,MainPumpP1
Temperature,2024-04-11 22:35:16,24.7,MainPumpP1
Temperature,2024-04-11 22:38:16,24.7,MainPumpP1
Temperature,2024-04-11 22:41:16,24.7,MainPumpP1
Temperature,2024-04-11 22:44:16,24.6,MainPumpP1
Temperature,2024-04-11 22:47:16,24.7,MainPumpP1
Temperature,2024-04-11 22:50:16,24.6,MainPumpP1
Temperature,2024-04-11 22:53:16,24.6,MainPumpP1
Temperature,2024-04-11 22:56:16,24.6,MainPumpP1
Temperature,2024-04-11 22:59:16,24.6,MainPumpP1
Temperature,2024-04-11 23:02:16,24.6,MainPumpP1
Temperature,2024-04-11 23:05:16,24.6,MainPumpP1
Temperature,2024-04-11 23:08:16,24.6,MainPumpP1
Temperature,2024-04-11 23:11:16,24.6,MainPumpP1
Temperature,2024-04-11 23:14:16,24.5,MainPumpP1
Temperature,2024-04-11 23:17:16,24.5,MainPumpP1
Temperature,2024-04-11 23:20:16,24.5,MainPumpP1
Temperature,2024-04-11 23:23:16,24.5,MainPumpP1
Temperature,2024-04-11 23:26:16,24.5,MainPumpP1
Temperature,2024-04-11 23:29:16,24.5,MainPumpP1
Temperature,2024-04-11 23:32:16,24.5,MainPumpP1
Temperature,2024-04-11 23:35:16,24.5,MainPumpP1
Temperature,2024-04-11 23:38:16,24.5,MainPumpP1
Temperature,2024-04-11 23:41:16,24.5,MainPumpP1
Temperature,2024-04-11 23:44:16,24.5,MainPumpP1
Temperature,2024-04-11 23:47:16,24.5,MainPumpP1
Temperature,2024-04-11 23:50:16,24.5,MainPumpP1
AccelerationY,2024-04-11 23:53:16,0.4,MainPumpP1
AccelerationX,2024-04-11 23:53:16,0.1,MainPumpP1
AccelerationZ,2024-04-11 23:53:16,0.1,MainPumpP1
Temperature,2024-04-11 23:53:16,24.5,MainPumpP1
Temperature,2024-04-11 23:56:16,24.5,MainPumpP1
Temperature,2024-04-11 23:59:16,24.5,MainPumpP1
Temperature,2024-04-12 00:02:16,24.4,MainPumpP1
Temperature,2024-04-12 00:05:16,24.4,MainPumpP1
Temperature,2024-04-12 00:08:16,24.4,MainPumpP1
Temperature,2024-04-12 00:11:16,24.5,MainPumpP1
Temperature,2024-04-12 00:14:16,24.5,MainPumpP1
Temperature,2024-04-12 00:17:16,24.5,MainPumpP1
Temperature,2024-04-12 00:20:16,24.5,MainPumpP1
Temperature,2024-04-12 00:23:16,24.6,MainPumpP1
Temperature,2024-04-12 00:26:16,24.6,MainPumpP1
Temperature,2024-04-12 00:29:16,24.7,MainPumpP1
