y_true,y_pred_lstm,y_pred_gru,y_pred_svr
27.0,27.112373,27.18766,28.28345644702032
27.0,26.956903,27.128252,28.40803166227253
27.0,26.923162,27.168926,28.47388100424118
27.0,26.897251,27.164452,28.488779282566263
27.0,26.888563,27.162855,28.36241325222016
27.0,26.888855,27.163868,28.47535894906708
27.0,26.893305,27.164005,28.476843194121848
27.0,26.899319,27.164032,28.478906445627675
27.0,26.902424,27.16408,28.356438343478914
27.0,26.902424,27.16408,28.356438343478914
27.0,26.902424,27.16408,28.356438343478914
27.0,26.902424,27.16408,28.356438343478914
27.0,26.902424,27.16408,28.356438343478914
27.0,26.902424,27.16408,28.356438343478914
27.0,26.902424,27.16408,28.356438343478914
27.0,26.902424,27.16408,28.356438343478914
27.0,26.902424,27.16408,28.356438343478914
27.0,26.902424,27.16408,28.356438343478914
27.0,26.902424,27.16408,28.356438343478914
27.0,26.902424,27.16408,28.356438343478914
27.0,26.902424,27.16408,28.356438343478914
27.0,26.902424,27.16408,28.356438343478914
27.0,26.902424,27.16408,28.356438343478914
27.0,26.902424,27.16408,28.356438343478914
27.0,26.902428,27.164082,28.356438343478914
27.0,26.902428,27.164082,28.356438343478914
27.0,26.902424,27.16408,28.356438343478914
27.0,26.902424,27.16408,28.356438343478914
27.0,26.902424,27.16408,28.356438343478914
27.0,26.902424,27.16408,28.356438343478914
27.0,26.902424,27.16408,28.356438343478914
27.0,26.902424,27.16408,28.356438343478914
27.0,26.902424,27.16408,28.356438343478914
27.0,26.902424,27.16408,28.356438343478914
27.0,26.902424,27.16408,28.356438343478914
27.0,26.902424,27.16408,28.356438343478914
27.0,26.902424,27.16408,28.356438343478914
27.0,26.902424,27.16408,28.356438343478914
