Parametro,Value,NmeComp
AccelerationZ,0.2,MainPumpP1
AccelerationY,0.3,MainPumpP1
AccelerationX,0.3,MainPumpP1
AccelerationZ,0.2,MainPumpP1
AccelerationY,0.3,MainPumpP1
Temperature,47.5,MainPumpP1
AccelerationX,0.4,MainPumpP1
Temperature,46.8,MainPumpP1
AccelerationZ,0.2,MainPumpP1
AccelerationX,0.4,MainPumpP1
AccelerationY,0.3,MainPumpP1
AccelerationX,0.4,MainPumpP1
AccelerationY,0.3,MainPumpP1
Temperature,45.2,MainPumpP1
AccelerationZ,0.2,MainPumpP1
AccelerationX,0.4,MainPumpP1
Temperature,44.6,MainPumpP1
AccelerationZ,0.3,MainPumpP1
AccelerationY,0.3,MainPumpP1
Temperature,44.0,MainPumpP1
AccelerationZ,0.3,MainPumpP1
AccelerationX,0.3,MainPumpP1
AccelerationY,0.3,MainPumpP1
Temperature,43.2,MainPumpP1
Temperature,42.9,MainPumpP1
Temperature,42.0,MainPumpP1
Temperature,41.1,MainPumpP1
Temperature,40.1,MainPumpP1
Temperature,38.8,MainPumpP1
Temperature,37.7,MainPumpP1
Temperature,36.7,MainPumpP1
Temperature,35.5,MainPumpP1
Temperature,34.7,MainPumpP1
Temperature,34.2,MainPumpP1
Temperature,33.6,MainPumpP1
Temperature,32.9,MainPumpP1
Temperature,32.4,MainPumpP1
Temperature,31.9,MainPumpP1
Temperature,31.6,MainPumpP1
Temperature,31.3,MainPumpP1
Temperature,30.9,MainPumpP1
Temperature,30.5,MainPumpP1
Temperature,30.0,MainPumpP1
Temperature,29.6,MainPumpP1
Temperature,29.1,MainPumpP1
Temperature,28.7,MainPumpP1
Temperature,28.5,MainPumpP1
Temperature,28.2,MainPumpP1
Temperature,27.8,MainPumpP1
Temperature,27.6,MainPumpP1
Temperature,27.3,MainPumpP1
Temperature,27.1,MainPumpP1
Temperature,26.9,MainPumpP1
Temperature,26.6,MainPumpP1
Temperature,26.4,MainPumpP1
Temperature,26.3,MainPumpP1
Temperature,26.0,MainPumpP1
Temperature,25.8,MainPumpP1
Temperature,25.8,MainPumpP1
Temperature,25.7,MainPumpP1
Temperature,25.6,MainPumpP1
Temperature,25.3,MainPumpP1
Temperature,25.2,MainPumpP1
Temperature,25.1,MainPumpP1
Temperature,24.9,MainPumpP1
Temperature,24.9,MainPumpP1
Temperature,25.0,MainPumpP1
Temperature,24.9,MainPumpP1
Temperature,24.9,MainPumpP1
Temperature,24.8,MainPumpP1
Temperature,24.7,MainPumpP1
Temperature,24.7,MainPumpP1
Temperature,24.7,MainPumpP1
Temperature,24.6,MainPumpP1
Temperature,24.6,MainPumpP1
Temperature,24.5,MainPumpP1
Temperature,24.5,MainPumpP1
Temperature,24.5,MainPumpP1
Temperature,24.5,MainPumpP1
Temperature,24.4,MainPumpP1
Temperature,24.4,MainPumpP1
Temperature,24.3,MainPumpP1
Temperature,24.2,MainPumpP1
Temperature,24.2,MainPumpP1
Temperature,24.2,MainPumpP1
Temperature,24.2,MainPumpP1
Temperature,24.3,MainPumpP1
Temperature,24.3,MainPumpP1
Temperature,24.3,MainPumpP1
Temperature,24.2,MainPumpP1
Temperature,24.2,MainPumpP1
Temperature,24.3,MainPumpP1
Temperature,24.3,MainPumpP1
Temperature,24.3,MainPumpP1
Temperature,24.4,MainPumpP1
Temperature,24.4,MainPumpP1
Temperature,24.5,MainPumpP1
Temperature,24.5,MainPumpP1
Temperature,24.6,MainPumpP1
Temperature,24.6,MainPumpP1
Temperature,24.6,MainPumpP1
Temperature,24.7,MainPumpP1
Temperature,24.7,MainPumpP1
Temperature,24.7,MainPumpP1
Temperature,24.8,MainPumpP1
Temperature,24.8,MainPumpP1
Temperature,24.8,MainPumpP1
Temperature,24.9,MainPumpP1
Temperature,24.9,MainPumpP1
Temperature,25.0,MainPumpP1
Temperature,24.9,MainPumpP1
Temperature,25.0,MainPumpP1
Temperature,25.0,MainPumpP1
Temperature,25.1,MainPumpP1
Temperature,25.1,MainPumpP1
Temperature,25.1,MainPumpP1
Temperature,25.1,MainPumpP1
Temperature,25.2,MainPumpP1
Temperature,25.2,MainPumpP1
Temperature,25.3,MainPumpP1
Temperature,25.2,MainPumpP1
Temperature,25.2,MainPumpP1
Temperature,25.2,MainPumpP1
Temperature,25.2,MainPumpP1
Temperature,25.2,MainPumpP1
Temperature,25.2,MainPumpP1
Temperature,25.3,MainPumpP1
Temperature,25.2,MainPumpP1
Temperature,25.3,MainPumpP1
Temperature,25.3,MainPumpP1
Temperature,25.4,MainPumpP1
Temperature,25.4,MainPumpP1
Temperature,25.5,MainPumpP1
Temperature,25.5,MainPumpP1
Temperature,25.5,MainPumpP1
Temperature,25.5,MainPumpP1
Temperature,25.6,MainPumpP1
Temperature,25.6,MainPumpP1
Temperature,25.6,MainPumpP1
Temperature,25.6,MainPumpP1
Temperature,25.6,MainPumpP1
Temperature,25.6,MainPumpP1
Temperature,25.7,MainPumpP1
Temperature,25.8,MainPumpP1
Temperature,25.8,MainPumpP1
AccelerationY,0.8,MainPumpP1
Temperature,26.1,MainPumpP1
AccelerationZ,1.2,MainPumpP1
AccelerationX,1.2,MainPumpP1
AccelerationZ,0.2,MainPumpP1
Temperature,30.0,MainPumpP1
AccelerationY,0.3,MainPumpP1
AccelerationX,0.4,MainPumpP1
Temperature,35.2,MainPumpP1
AccelerationY,0.8,MainPumpP1
AccelerationZ,1.1,MainPumpP1
AccelerationX,1.2,MainPumpP1
Temperature,39.1,MainPumpP1
AccelerationZ,0.2,MainPumpP1
AccelerationX,0.4,MainPumpP1
AccelerationY,0.4,MainPumpP1
AccelerationZ,0.2,MainPumpP1
AccelerationY,0.3,MainPumpP1
Temperature,42.0,MainPumpP1
AccelerationX,0.4,MainPumpP1
Temperature,45.4,MainPumpP1
Temperature,46.7,MainPumpP1
Temperature,47.5,MainPumpP1
Temperature,46.7,MainPumpP1
Temperature,45.9,MainPumpP1
Temperature,45.4,MainPumpP1
Temperature,44.8,MainPumpP1
Temperature,44.5,MainPumpP1
Temperature,43.9,MainPumpP1
Temperature,43.0,MainPumpP1
Temperature,41.7,MainPumpP1
Temperature,40.6,MainPumpP1
Temperature,40.0,MainPumpP1
Temperature,38.9,MainPumpP1
Temperature,37.8,MainPumpP1
Temperature,37.1,MainPumpP1
Temperature,36.6,MainPumpP1
Temperature,35.6,MainPumpP1
Temperature,35.1,MainPumpP1
Temperature,34.7,MainPumpP1
Temperature,34.2,MainPumpP1
Temperature,33.7,MainPumpP1
Temperature,33.3,MainPumpP1
Temperature,33.2,MainPumpP1
Temperature,32.6,MainPumpP1
Temperature,31.9,MainPumpP1
Temperature,31.8,MainPumpP1
Temperature,31.7,MainPumpP1
Temperature,31.6,MainPumpP1
Temperature,31.5,MainPumpP1
Temperature,31.2,MainPumpP1
Temperature,31.0,MainPumpP1
Temperature,30.9,MainPumpP1
Temperature,30.6,MainPumpP1
Temperature,30.5,MainPumpP1
Temperature,30.3,MainPumpP1
Temperature,30.2,MainPumpP1
Temperature,30.0,MainPumpP1
Temperature,29.7,MainPumpP1
Temperature,29.7,MainPumpP1
Temperature,29.6,MainPumpP1
Temperature,29.4,MainPumpP1
Temperature,29.2,MainPumpP1
Temperature,29.1,MainPumpP1
Temperature,28.9,MainPumpP1
Temperature,29.0,MainPumpP1
Temperature,29.1,MainPumpP1
Temperature,29.1,MainPumpP1
Temperature,29.1,MainPumpP1
Temperature,29.0,MainPumpP1
Temperature,29.0,MainPumpP1
Temperature,29.0,MainPumpP1
Temperature,28.9,MainPumpP1
Temperature,28.9,MainPumpP1
Temperature,29.0,MainPumpP1
Temperature,28.8,MainPumpP1
Temperature,28.8,MainPumpP1
Temperature,28.7,MainPumpP1
Temperature,28.5,MainPumpP1
Temperature,28.4,MainPumpP1
Temperature,28.4,MainPumpP1
Temperature,28.3,MainPumpP1
Temperature,28.3,MainPumpP1
Temperature,28.4,MainPumpP1
Temperature,28.3,MainPumpP1
Temperature,28.3,MainPumpP1
Temperature,28.3,MainPumpP1
Temperature,28.4,MainPumpP1
Temperature,28.4,MainPumpP1
AccelerationY,1.1,MainPumpP1
Temperature,28.4,MainPumpP1
AccelerationZ,1.5,MainPumpP1
AccelerationX,1.4,MainPumpP1
Temperature,30.7,MainPumpP1
AccelerationX,1.0,MainPumpP1
AccelerationZ,0.8,MainPumpP1
AccelerationY,0.6,MainPumpP1
AccelerationX,1.0,MainPumpP1
AccelerationY,0.6,MainPumpP1
Temperature,36.6,MainPumpP1
AccelerationZ,0.6,MainPumpP1
AccelerationZ,0.7,MainPumpP1
Temperature,42.9,MainPumpP1
AccelerationY,0.6,MainPumpP1
AccelerationX,0.9,MainPumpP1
Temperature,47.3,MainPumpP1
AccelerationX,1.0,MainPumpP1
AccelerationZ,0.8,MainPumpP1
AccelerationY,0.7,MainPumpP1
AccelerationZ,0.7,MainPumpP1
Temperature,51.5,MainPumpP1
AccelerationY,0.5,MainPumpP1
AccelerationX,0.9,MainPumpP1
AccelerationX,0.9,MainPumpP1
AccelerationY,0.6,MainPumpP1
Temperature,53.8,MainPumpP1
AccelerationZ,0.6,MainPumpP1
Temperature,56.0,MainPumpP1
AccelerationX,1.0,MainPumpP1
AccelerationY,0.6,MainPumpP1
AccelerationZ,1.1,MainPumpP1
AccelerationX,0.9,MainPumpP1
Temperature,58.4,MainPumpP1
AccelerationY,0.6,MainPumpP1
AccelerationZ,0.6,MainPumpP1
Temperature,60.2,MainPumpP1
Temperature,60.5,MainPumpP1
Temperature,59.6,MainPumpP1
Temperature,58.7,MainPumpP1
Temperature,57.1,MainPumpP1
Temperature,55.1,MainPumpP1
Temperature,53.6,MainPumpP1
Temperature,52.7,MainPumpP1
Temperature,51.0,MainPumpP1
Temperature,49.7,MainPumpP1
Temperature,48.7,MainPumpP1
