Data;Hora UTC;TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C)
16/01/2024;1900 UTC;33,4;31,3
16/01/2024;2000 UTC;32,4;31,2
16/01/2024;2100 UTC;31,4;28,7
16/01/2024;2200 UTC;28,8;28
16/01/2024;2300 UTC;29,1;27
17/01/2024;0000 UTC;27,3;26,5
17/01/2024;0100 UTC;27,5;26,7
17/01/2024;0200 UTC;27,9;25,9
17/01/2024;0300 UTC;27,8;23,2
17/01/2024;0400 UTC;23,1;22,3
17/01/2024;0500 UTC;22,5;22
17/01/2024;0600 UTC;22,3;22
17/01/2024;0700 UTC;22,8;22,1
17/01/2024;0800 UTC;23,1;22,1
17/01/2024;0900 UTC;23;22
17/01/2024;1000 UTC;22,7;22,2
17/01/2024;1100 UTC;23,5;22,4
17/01/2024;1200 UTC;25,6;23,5
17/01/2024;1300 UTC;27,5;25,4
17/01/2024;1400 UTC;29,3;27,5
17/01/2024;1500 UTC;29,6;28,3
17/01/2024;1600 UTC;29,9;28,6
17/01/2024;1700 UTC;30,9;29,4
17/01/2024;1800 UTC;31,6;29,8
17/01/2024;1900 UTC;32,1;30,5
17/01/2024;2000 UTC;31,2;30,2
17/01/2024;2100 UTC;30,6;29,1
17/01/2024;2200 UTC;29,1;28
17/01/2024;2300 UTC;28;27,2
18/01/2024;0000 UTC;27,9;25,2
18/01/2024;0100 UTC;25,3;24,9
18/01/2024;0200 UTC;25,6;24,1
18/01/2024;0300 UTC;24,1;23,5
18/01/2024;0400 UTC;23,7;23
18/01/2024;0500 UTC;23,1;22,9
18/01/2024;0600 UTC;23,2;22,8
18/01/2024;0700 UTC;23;22,7
18/01/2024;0800 UTC;22,9;22,6
18/01/2024;0900 UTC;23,1;22,7
18/01/2024;1000 UTC;23,5;22,8
18/01/2024;1100 UTC;25,2;23,4
18/01/2024;1200 UTC;27,9;24,9
18/01/2024;1300 UTC;29,4;27
18/01/2024;1400 UTC;31,3;28,5
18/01/2024;1500 UTC;31,4;30
18/01/2024;1600 UTC;32,6;30,9
18/01/2024;1700 UTC;33,3;32
18/01/2024;1800 UTC;33,7;31,9
18/01/2024;1900 UTC;33,8;32,3
18/01/2024;2000 UTC;33,1;31,6
18/01/2024;2100 UTC;32,5;30,8
18/01/2024;2200 UTC;30,7;28
18/01/2024;2300 UTC;28,2;26,1
19/01/2024;0000 UTC;27,5;25,8
19/01/2024;0100 UTC;26,8;25,8
19/01/2024;0200 UTC;27,4;25,6
19/01/2024;0300 UTC;26,8;25,4
19/01/2024;0400 UTC;25,7;25
19/01/2024;0500 UTC;25,6;24,6
19/01/2024;0600 UTC;24,8;23,9
19/01/2024;0700 UTC;25,1;23,8
19/01/2024;0800 UTC;25,1;23,7
19/01/2024;0900 UTC;24,6;23,3
19/01/2024;1000 UTC;24,2;23,5
19/01/2024;1100 UTC;27,1;24,2
19/01/2024;1200 UTC;28,3;27,1
19/01/2024;1300 UTC;30,3;28,3
19/01/2024;1400 UTC;32;29,9
19/01/2024;1500 UTC;33,6;29,7
19/01/2024;1600 UTC;30;28,3
19/01/2024;1700 UTC;31,1;29,3
19/01/2024;1800 UTC;30,4;28,4
19/01/2024;1900 UTC;28,5;27,8
19/01/2024;2000 UTC;28,4;27,9
19/01/2024;2100 UTC;28,6;28,2
19/01/2024;2200 UTC;28,3;26,8
19/01/2024;2300 UTC;27,4;25,9
20/01/2024;0000 UTC;26,9;25,6
20/01/2024;0100 UTC;26,3;24,5
20/01/2024;0200 UTC;25,8;24,1
20/01/2024;0300 UTC;25,3;24,4
20/01/2024;0400 UTC;24,9;24,3
20/01/2024;0500 UTC;24,5;23,4
20/01/2024;0600 UTC;24,5;23,4
20/01/2024;0700 UTC;23,5;23
20/01/2024;0800 UTC;23,6;22,7
20/01/2024;0900 UTC;23,9;22,5
20/01/2024;1000 UTC;23,3;22,5
20/01/2024;1100 UTC;25,6;23,3
20/01/2024;1200 UTC;27,7;25,5
20/01/2024;1300 UTC;29,5;27,5
20/01/2024;1400 UTC;31,2;29,1
20/01/2024;1500 UTC;32,4;30,3
20/01/2024;1600 UTC;33,9;30,9
20/01/2024;1700 UTC;34;31
