Parametro,Value,NmeComp,Unnamed: 0,Autor 1,Ano de publicação,Título,Nome da revista/periódico,Volume,Páginas inicial e final,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Resultado,NumericTimestamp,Moving_Average
Temperature,0.2325174825174825,MainPumpP1,,,,,,,,,,,,,,,19095.20199074074,53.114285714285714
Temperature,0.27447552447552437,MainPumpP1,,,,,,,,,,,,,,,19095.204074074074,53.94285714285714
Temperature,0.3129370629370629,MainPumpP1,,,,,,,,,,,,,,,19095.206157407407,55.17142857142857
Temperature,0.2832167832167831,MainPumpP1,,,,,,,,,,,,,,,19095.20824074074,56.25714285714285
Temperature,0.2657342657342656,MainPumpP1,,,,,,,,,,,,,,,19095.210324074073,57.114285714285714
Temperature,0.2674825174825175,MainPumpP1,,,,,,,,,,,,,,,19095.21240740741,57.714285714285715
Temperature,0.2832167832167831,MainPumpP1,,,,,,,,,,,,,,,19095.214490740742,58.385714285714286
Temperature,0.2849650349650348,MainPumpP1,,,,,,,,,,,,,,,19095.216574074075,58.81428571428571
Temperature,0.3006993006993006,MainPumpP1,,,,,,,,,,,,,,,19095.218657407408,59.028571428571425
Temperature,0.3024475524475523,MainPumpP1,,,,,,,,,,,,,,,19095.22074074074,58.94285714285714
Temperature,0.31118881118881103,MainPumpP1,,,,,,,,,,,,,,,19095.222824074073,59.17142857142858
Temperature,0.30419580419580416,MainPumpP1,,,,,,,,,,,,,,,19095.224907407406,59.48571428571428
Temperature,0.2972027972027971,MainPumpP1,,,,,,,,,,,,,,,19095.22699074074,59.728571428571435
Temperature,0.29020979020979,MainPumpP1,,,,,,,,,,,,,,,19095.229074074075,59.785714285714285
Temperature,0.29020979020979,MainPumpP1,,,,,,,,,,,,,,,19095.23115740741,59.82857142857143
Temperature,0.2954545454545454,MainPumpP1,,,,,,,,,,,,,,,19095.23324074074,59.785714285714285
Temperature,0.3199300699300698,MainPumpP1,,,,,,,,,,,,,,,19095.235324074074,59.92857142857143
Temperature,0.2884615384615383,MainPumpP1,,,,,,,,,,,,,,,19095.237407407407,59.74285714285714
Temperature,0.27622377622377625,MainPumpP1,,,,,,,,,,,,,,,19095.23949074074,59.51428571428572
Temperature,0.27447552447552437,MainPumpP1,,,,,,,,,,,,,,,19095.241574074073,59.32857142857142
Temperature,0.2779720279720279,MainPumpP1,,,,,,,,,,,,,,,19095.24365740741,59.228571428571435
Temperature,0.29370629370629353,MainPumpP1,,,,,,,,,,,,,,,19095.245740740742,59.25714285714286
Temperature,0.26398601398601396,MainPumpP1,,,,,,,,,,,,,,,19095.247824074075,59.0
Temperature,0.26398601398601396,MainPumpP1,,,,,,,,,,,,,,,19095.249907407408,58.54285714285714
Temperature,0.2727272727272727,MainPumpP1,,,,,,,,,,,,,,,19095.25199074074,58.41428571428571
Temperature,0.2849650349650348,MainPumpP1,,,,,,,,,,,,,,,19095.254074074073,58.48571428571428
Temperature,0.3006993006993006,MainPumpP1,,,,,,,,,,,,,,,19095.256157407406,58.699999999999996
Temperature,0.3006993006993006,MainPumpP1,,,,,,,,,,,,,,,19095.25824074074,58.885714285714286
Temperature,0.3146853146853146,MainPumpP1,,,,,,,,,,,,,,,19095.260324074075,59.05714285714286
Temperature,0.29895104895104874,MainPumpP1,,,,,,,,,,,,,,,19095.26240740741,59.34285714285714
Temperature,0.29370629370629353,MainPumpP1,,,,,,,,,,,,,,,19095.26449074074,59.58571428571429
Temperature,0.2972027972027971,MainPumpP1,,,,,,,,,,,,,,,19095.266574074074,59.785714285714285
Temperature,0.2972027972027971,MainPumpP1,,,,,,,,,,,,,,,19095.268657407407,59.885714285714286
Temperature,0.30419580419580416,MainPumpP1,,,,,,,,,,,,,,,19095.27074074074,59.91428571428571
Temperature,0.3129370629370629,MainPumpP1,,,,,,,,,,,,,,,19095.272824074073,60.01428571428572
Temperature,0.3374125874125873,MainPumpP1,,,,,,,,,,,,,,,19095.27490740741,60.2
Temperature,0.3129370629370629,MainPumpP1,,,,,,,,,,,,,,,19095.276990740742,60.31428571428571
Temperature,0.3006993006993006,MainPumpP1,,,,,,,,,,,,,,,19095.279074074075,60.371428571428574
Temperature,0.3059440559440558,MainPumpP1,,,,,,,,,,,,,,,19095.281157407408,60.44285714285714
Temperature,0.32167832167832167,MainPumpP1,,,,,,,,,,,,,,,19095.28324074074,60.642857142857146
Temperature,0.3024475524475523,MainPumpP1,,,,,,,,,,,,,,,19095.285324074073,60.628571428571426
Temperature,0.3146853146853146,MainPumpP1,,,,,,,,,,,,,,,19095.287407407406,60.642857142857146
Temperature,0.3076923076923075,MainPumpP1,,,,,,,,,,,,,,,19095.28949074074,60.39999999999999
Temperature,0.2972027972027971,MainPumpP1,,,,,,,,,,,,,,,19095.291574074075,60.27142857142858
Temperature,0.28146853146853124,MainPumpP1,,,,,,,,,,,,,,,19095.29365740741,60.11428571428571
Temperature,0.29370629370629353,MainPumpP1,,,,,,,,,,,,,,,19095.29574074074,60.01428571428572
Temperature,0.29895104895104874,MainPumpP1,,,,,,,,,,,,,,,19095.297824074074,59.82857142857142
Temperature,0.2727272727272727,MainPumpP1,,,,,,,,,,,,,,,19095.299907407407,59.58571428571428
Temperature,0.23951048951048937,MainPumpP1,,,,,,,,,,,,,,,19095.30199074074,58.97142857142857
Temperature,0.2202797202797202,MainPumpP1,,,,,,,,,,,,,,,19095.304074074073,58.25714285714286
Temperature,0.19055944055944052,MainPumpP1,,,,,,,,,,,,,,,19095.30615740741,57.385714285714286
Temperature,0.16608391608391604,MainPumpP1,,,,,,,,,,,,,,,19095.308240740742,56.442857142857136
Temperature,0.14335664335664322,MainPumpP1,,,,,,,,,,,,,,,19095.310324074075,55.214285714285715
Temperature,0.11713286713286708,MainPumpP1,,,,,,,,,,,,,,,19095.312407407408,53.728571428571435
